"site","Time","Date","Dissolved.Oxygen","TimeStamp"
"NeuseUp1","20:00:00","2018-07-27",0.446667,"After"
"NeuseUp1","20:15:00","2018-07-27",0.47,"After"
"NeuseUp1","20:30:00","2018-07-27",0.436667,"After"
"NeuseUp1","20:45:00","2018-07-27",0.446667,"After"
"NeuseUp1","21:00:00","2018-07-27",0.446667,"After"
"NeuseUp1","21:15:00","2018-07-27",0.42,"After"
"NeuseUp1","21:30:00","2018-07-27",0.44,"After"
"NeuseUp1","21:45:00","2018-07-27",0.406667,"After"
"NeuseUp1","22:00:00","2018-07-27",0.493333,"After"
"NeuseUp1","22:15:00","2018-07-27",0.5,"After"
"NeuseUp1","22:30:00","2018-07-27",0.396667,"After"
"NeuseUp1","22:45:00","2018-07-27",0.463333,"After"
"NeuseUp1","23:00:00","2018-07-27",0.473333,"After"
"NeuseUp1","23:15:00","2018-07-27",0.366667,"After"
"NeuseUp1","23:30:00","2018-07-27",0.38,"After"
"NeuseUp1","23:45:00","2018-07-27",0.396667,"After"
"NeuseUp1","00:00:00","2018-07-28",0.396667,"After"
"NeuseUp1","00:15:00","2018-07-28",0.32,"After"
"NeuseUp1","00:30:00","2018-07-28",0.416667,"After"
"NeuseUp1","00:45:00","2018-07-28",0.42,"After"
"NeuseUp1","01:00:00","2018-07-28",0.23,"After"
"NeuseUp1","01:15:00","2018-07-28",0.146667,"After"
"NeuseUp1","01:30:00","2018-07-28",0.193333,"After"
"NeuseUp1","01:45:00","2018-07-28",0.24,"After"
"NeuseUp1","02:00:00","2018-07-28",0.216667,"After"
"NeuseUp1","02:15:00","2018-07-28",0.216667,"After"
"NeuseUp1","02:30:00","2018-07-28",0.216667,"After"
"NeuseUp1","02:45:00","2018-07-28",0.223333,"After"
"NeuseUp1","03:00:00","2018-07-28",0.223333,"After"
"NeuseUp1","03:15:00","2018-07-28",0.226667,"After"
"NeuseUp1","03:30:00","2018-07-28",0.176667,"After"
"NeuseUp1","03:45:00","2018-07-28",0.146667,"After"
"NeuseUp1","04:00:00","2018-07-28",0.17,"After"
"NeuseUp1","04:15:00","2018-07-28",0.153333,"After"
"NeuseUp1","04:30:00","2018-07-28",0.116667,"After"
"NeuseUp1","04:45:00","2018-07-28",0.123333,"After"
"NeuseUp1","05:00:00","2018-07-28",0.143333,"After"
"NeuseUp1","05:15:00","2018-07-28",0.13,"After"
"NeuseUp1","05:30:00","2018-07-28",0.123333,"After"
"NeuseUp1","05:45:00","2018-07-28",0.0933333,"After"
"NeuseUp1","06:00:00","2018-07-28",0.11,"After"
"NeuseUp1","06:15:00","2018-07-28",0.103333,"After"
"NeuseUp1","06:30:00","2018-07-28",0.05,"After"
"NeuseUp1","06:45:00","2018-07-28",0.0733333,"After"
"NeuseUp1","07:00:00","2018-07-28",0.0966667,"After"
"NeuseUp1","07:15:00","2018-07-28",0.0833333,"After"
"NeuseUp1","07:30:00","2018-07-28",0.09,"After"
"NeuseUp1","07:45:00","2018-07-28",0.0466667,"After"
"NeuseUp1","08:00:00","2018-07-28",0.03,"After"
"NeuseUp1","08:15:00","2018-07-28",0.0933333,"After"
"NeuseUp1","08:30:00","2018-07-28",0.113333,"After"
"NeuseUp1","08:45:00","2018-07-28",0.0866667,"After"
"NeuseUp1","09:00:00","2018-07-28",0.11,"After"
"NeuseUp1","09:15:00","2018-07-28",0.0866667,"After"
"NeuseUp1","09:30:00","2018-07-28",0.04,"After"
"NeuseUp1","09:45:00","2018-07-28",0.02,"After"
"NeuseUp1","10:00:00","2018-07-28",0.0333333,"After"
"NeuseUp1","10:15:00","2018-07-28",0.0266667,"After"
"NeuseUp1","10:30:00","2018-07-28",0.0866667,"After"
"NeuseUp1","10:45:00","2018-07-28",0.106667,"After"
"NeuseUp1","11:00:00","2018-07-28",0.07,"After"
"NeuseUp1","11:15:00","2018-07-28",0.00666667,"After"
"NeuseUp1","11:30:00","2018-07-28",0,"After"
"NeuseUp1","11:45:00","2018-07-28",0,"After"
"NeuseUp1","12:00:00","2018-07-28",0,"After"
"NeuseUp1","12:15:00","2018-07-28",0,"After"
"NeuseUp1","12:30:00","2018-07-28",0,"After"
"NeuseUp1","12:45:00","2018-07-28",0,"After"
"NeuseUp1","13:00:00","2018-07-28",0,"After"
"NeuseUp1","13:15:00","2018-07-28",0,"After"
"NeuseUp1","13:30:00","2018-07-28",0,"After"
"NeuseUp1","13:45:00","2018-07-28",0,"After"
"NeuseUp1","14:00:00","2018-07-28",0,"After"
"NeuseUp1","14:15:00","2018-07-28",0,"After"
"NeuseUp1","14:30:00","2018-07-28",0,"After"
"NeuseUp1","14:45:00","2018-07-28",0,"After"
"NeuseUp1","15:00:00","2018-07-28",0.0133333,"After"
"NeuseUp1","15:15:00","2018-07-28",0.08,"After"
"NeuseUp1","15:30:00","2018-07-28",0.0333333,"After"
"NeuseUp1","15:45:00","2018-07-28",0,"After"
"NeuseUp1","16:00:00","2018-07-28",0,"After"
"NeuseUp1","16:15:00","2018-07-28",0,"After"
"NeuseUp1","16:30:00","2018-07-28",0,"After"
"NeuseUp1","16:45:00","2018-07-28",0,"After"
